		D. Trump	T. Cruz	M. Rubio	B. Carson	J. Kasich	J. Bush	M. Huckabee	R. Paul	C. Christie	C. Fiorina	R. Santorum	L. Graham	Uncommitted
	Candler County	0.49	0.175	0.176	0.081	0.041	0.027	0.004	0.003	0.001	0.001	0	0.001	#N/A
	Carroll County	0.417	0.278	0.188	0.07	0.036	0.005	0.002	0.003	0.001	0	0.001	0	#N/A
	Catoosa County	0.402	0.228	0.219	0.099	0.042	0.004	0.002	0.002	0.001	0	0	0	#N/A
	Charlton County	0.473	0.251	0.164	0.068	0.016	0.015	0.006	0.004	0.002	0.001	0	0.001	#N/A
	Chatham County	0.35	0.23	0.256	0.05	0.097	0.009	0.002	0.002	0.002	0.001	0	0.001	#N/A
	Chattahoochee County	0.545	0.277	0.093	0.044	0.025	0.012	0	0.003	0	0	0	0	#N/A
	Chattooga County	0.517	0.196	0.161	0.09	0.023	0.007	0.003	0.002	0	0.001	0	0	#N/A
	Cherokee County	0.367	0.256	0.268	0.05	0.049	0.003	0.001	0.003	0.001	0.001	0	0	#N/A
	Clarke County	0.267	0.206	0.352	0.056	0.099	0.007	0.002	0.004	0.002	0.001	0.001	0.001	#N/A
	Clay County	0.517	0.185	0.165	0.066	0.043	0.014	0.003	0	0.003	0	0.003	0	#N/A
	Clayton County	0.42	0.239	0.211	0.068	0.043	0.008	0.003	0.003	0.002	0.002	0	0.001	#N/A
	Clinch County	0.509	0.202	0.137	0.105	0.015	0.02	0.001	0.005	0.002	0	0.001	0.001	#N/A
	Cobb County	0.31	0.212	0.346	0.046	0.076	0.005	0.001	0.003	0.001	0.001	0	0	#N/A
	Coffee County	0.547	0.194	0.128	0.091	0.027	0.008	0.004	0	0	0	0	0	#N/A
	Colquitt County	0.496	0.234	0.129	0.085	0.033	0.014	0.004	0.001	0.002	0.001	0.001	0	#N/A
	Columbia County	0.346	0.304	0.217	0.08	0.043	0.004	0.001	0.002	0.001	0.001	0	0	#N/A
	Cook County	0.547	0.231	0.107	0.079	0.02	0.006	0.003	0.001	0.004	0.001	0	0	#N/A
	Coweta County	0.379	0.255	0.23	0.071	0.052	0.005	0.002	0.002	0.001	0.001	0	0	#N/A
	Crawford County	0.519	0.221	0.138	0.078	0.033	0.003	0.003	0.001	0.002	0.001	0.001	0	#N/A
	Crisp County	0.502	0.222	0.166	0.062	0.034	0.005	0.003	0.001	0.002	0	0.002	0	#N/A
	Dade County	0.412	0.199	0.237	0.098	0.043	0.004	0.002	0.004	0.001	0	0	0	#N/A
	Dawson County	0.454	0.251	0.188	0.053	0.046	0.004	0.001	0.001	0.001	0.001	0	0	#N/A
	Decatur County	0.485	0.223	0.173	0.067	0.036	0.011	0.003	0.001	0.001	0	0	0	#N/A
	Dekalb County	0.252	0.154	0.412	0.04	0.126	0.008	0.001	0.003	0.002	0.002	0	0.001	#N/A
	Dodge County	0.504	0.187	0.18	0.084	0.031	0.004	0.005	0.002	0.001	0	0.001	0	#N/A
	Dooly County	0.555	0.19	0.149	0.065	0.028	0.007	0.004	0	0	0	0.002	0	#N/A
	Dougherty County	0.468	0.213	0.175	0.068	0.059	0.009	0.003	0.002	0.001	0.001	0	0.002	#N/A
	Douglas County	0.428	0.251	0.209	0.061	0.037	0.006	0.003	0.002	0.001	0.001	0	0.001	#N/A
	Early County	0.561	0.166	0.165	0.055	0.032	0.013	0.004	0.001	0.001	0	0.001	0.001	#N/A
	Echols County	0.583	0.239	0.08	0.067	0.011	0.004	0.007	0.004	0.002	0.002	0	0	#N/A
	Effingham County	0.393	0.333	0.161	0.066	0.033	0.006	0.002	0.004	0	0.001	0.001	0.001	#N/A
	Elbert County	0.459	0.236	0.184	0.056	0.049	0.009	0.002	0.001	0	0.001	0.001	0	#N/A
	Emanuel County	0.502	0.233	0.156	0.067	0.029	0.004	0.004	0.002	0.001	0.001	0	0.001	#N/A
	Evans County	0.38	0.259	0.244	0.063	0.033	0.014	0.003	0.001	0.002	0.002	0	0	#N/A
	Fannin County	0.532	0.203	0.153	0.062	0.038	0.005	0.004	0.001	0.001	0.001	0	0	#N/A
	Fayette County	0.327	0.236	0.294	0.061	0.07	0.005	0.001	0.002	0.001	0.001	0.001	0	#N/A
	Floyd County	0.422	0.203	0.223	0.081	0.059	0.005	0.002	0.002	0.001	0.001	0	0	#N/A
	Forsyth County	0.372	0.236	0.285	0.042	0.054	0.005	0.001	0.002	0.001	0.001	0	0	#N/A
	Franklin County	0.46	0.252	0.17	0.07	0.034	0.007	0.003	0.002	0.001	0	0	0.001	#N/A
	Fulton County	0.266	0.146	0.416	0.033	0.125	0.007	0.001	0.003	0.001	0.001	0	0	#N/A
	Gilmer County	0.516	0.207	0.179	0.049	0.036	0.005	0.003	0.002	0	0.001	0.001	0	#N/A
	Glascock County	0.586	0.187	0.127	0.061	0.014	0.014	0.001	0.001	0.001	0.004	0	0.001	#N/A
	Glynn County	0.438	0.203	0.202	0.067	0.075	0.008	0.002	0.002	0.002	0.001	0.001	0	#N/A
	Gordon County	0.506	0.187	0.166	0.085	0.041	0.006	0.004	0.002	0.001	0.001	0.001	0	#N/A
	Grady County	0.445	0.252	0.173	0.081	0.034	0.01	0.003	0.002	0.001	0	0	0	#N/A
	Greene County	0.412	0.169	0.26	0.048	0.096	0.008	0.002	0.001	0.002	0.001	0.001	0.001	#N/A
	Gwinnett County	0.325	0.257	0.301	0.051	0.055	0.004	0.001	0.002	0.001	0.001	0	0	#N/A
	Habersham County	0.418	0.266	0.189	0.075	0.039	0.006	0.004	0.001	0.001	0.001	0	0	#N/A
	Hall County	0.385	0.278	0.208	0.07	0.047	0.005	0.002	0.002	0.001	0.001	0	0	#N/A
	Hancock County	0.554	0.148	0.153	0.07	0.046	0	0.012	0.005	0.01	0	0	0.002	#N/A
	Haralson County	0.495	0.255	0.138	0.077	0.022	0.005	0.003	0.002	0.001	0.001	0.001	0.001	#N/A
	Harris County	0.369	0.282	0.187	0.099	0.05	0.006	0.003	0.002	0.001	0.001	0	0	#N/A
	Hart County	0.442	0.229	0.192	0.084	0.041	0.006	0.002	0.001	0.001	0	0.001	0	#N/A
	Heard County	0.552	0.214	0.112	0.057	0.053	0.007	0.003	0.001	0	0.001	0	0	#N/A
	Henry County	0.402	0.29	0.204	0.06	0.03	0.006	0.002	0.002	0.001	0.001	0	0	#N/A
	Houston County	0.37	0.268	0.216	0.087	0.045	0.006	0.003	0.003	0.001	0.001	0	0	#N/A
	Irwin County	0.574	0.195	0.102	0.098	0.024	0.003	0.003	0	0	0	0.001	0	#N/A
	Jackson County	0.429	0.278	0.188	0.065	0.032	0.003	0.002	0.001	0.001	0.001	0	0	#N/A
	Jasper County	0.484	0.282	0.149	0.046	0.027	0.007	0.001	0.002	0.001	0.001	0	0	#N/A
	Jeff Davis County	0.469	0.237	0.16	0.085	0.03	0.009	0.006	0.001	0.001	0	0	0.001	#N/A
	Jefferson County	0.478	0.282	0.151	0.053	0.023	0.009	0.001	0	0	0.001	0.001	0.001	#N/A
	Jenkins County	0.518	0.227	0.163	0.048	0.025	0.008	0.007	0.001	0	0.001	0	0.001	#N/A
	Johnson County	0.536	0.211	0.138	0.087	0.019	0.003	0.003	0.003	0	0	0	0.001	#N/A
	Jones County	0.49	0.216	0.156	0.091	0.03	0.008	0.003	0.003	0.003	0	0.001	0.001	#N/A
	Lamar County	0.455	0.236	0.146	0.114	0.032	0.007	0.002	0.003	0.003	0.001	0.001	0	#N/A
